datetime,event,source,medium,campaign,content,page
2026-09-08 12:53,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-08 13:20,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-08 13:29,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-08 21:13,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-08 21:22,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-08 21:37,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-08 21:57,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-08 22:30,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-08 23:30,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 05:42,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 05:43,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 06:39,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 07:25,ticket_redirect,instagram,social,jackpotcomedy-20260909,,Ticket Redirect
2026-09-09 07:25,ticket_redirect,instagram,social,jackpotcomedy-20260909,,Ticket Redirect
2026-09-09 07:29,ticket_redirect,instagram,social,jackpotcomedy-20260909,,Ticket Redirect
2026-09-09 07:30,ticket_redirect,instagram,social,jackpotcomedy-20260909,,Ticket Redirect
2026-09-09 07:30,ticket_redirect,instagram,social,jackpotcomedy-20260909,,Ticket Redirect
2026-09-09 07:38,ticket_redirect,instagram,social,jackpotcomedy-20260909,,Ticket Redirect
2026-09-09 07:46,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 08:44,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 12:55,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 14:00,ticket_click,google,organic,,,https://inyourfacecomedy.ch/jackpotcomedy/
2026-09-09 15:44,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 15:55,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 17:08,ticket_click,guidle,referral,jackpotcomedy,,https://inyourfacecomedy.ch/jackpotcomedy/
2026-09-09 17:31,ticket_click,google,organic,,,https://inyourfacecomedy.ch/jackpotcomedy/
2026-09-09 17:42,ticket_click,google,organic,,,https://inyourfacecomedy.ch/jackpotcomedy/
2026-09-09 17:50,ticket_click,google,organic,,,https://inyourfacecomedy.ch/
2026-09-09 17:58,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/jackpotcomedy/
2026-09-09 19:00,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 19:08,ticket_click,(direct),(none),,,https://inyourfacecomedy.ch/
2026-09-09 19:31,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 20:46,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 20:56,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 21:19,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 21:28,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-09 21:54,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 02:22,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 06:05,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 07:22,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 08:44,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 08:51,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 08:52,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 08:53,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 08:53,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 08:54,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 09:56,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 09:59,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 11:00,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 11:00,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 11:46,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 12:17,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 14:31,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 18:11,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 18:11,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 18:45,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 19:56,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 21:02,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 21:13,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 21:22,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 21:29,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 22:06,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 23:18,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-10 23:19,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 01:41,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 05:44,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 09:51,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 10:03,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 11:12,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 15:29,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 15:29,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 15:46,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 17:07,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 17:33,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 18:01,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 19:20,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 19:45,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 21:33,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-11 22:11,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 00:35,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 00:41,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 08:42,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 09:17,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 09:26,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 09:50,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 10:09,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 18:16,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 18:20,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 19:17,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 19:56,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 19:57,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 20:08,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 20:24,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 20:53,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 22:02,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 22:17,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 22:39,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 23:20,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 23:22,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 23:38,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-12 23:49,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
2026-09-13 06:29,ticket_redirect,meta,paid_social,jackpotcomedy,6964168949947,Ticket Redirect
